	tweetUrl	time	text	replies	retweets	likes	date	iso_2
0	/Mr_gadeA/status/1212474517098041344	2020-01-01 14:43:46	Feliz año Perú menos para el Fáctico de @MartinVizcarraC a muchos peruanos no representa, quebrantador del orden constitucional no le preocupa el desempleo, la inseguridad ciudadana y la economía está paralizada. Mientras la prensa está modo Shakira #Feliz2020	0	1	1	2020-01-01	PE
1	/inga_aida/status/1212457406233493506	2020-01-01 13:35:46	Esta ministra de economía está borracha de q contribución habla lo único que ha aumentado es en los asesinatos más macabros que hayan existido en el Perú, hay más desempleo niños huérfanos en que mundo vive esta ministra.	0	0	0	2020-01-01	PE
2	/ereynaabogado/status/1212453201691185152	2020-01-01 13:19:04	Mediocre gestión! @MTPE_Peru y @Minsa_Peru solo gastaron 50% de su presupuesto para proyectos de inversión. Y las 2/3 partes @MineduPeru (69%) y @MimpPeru (68%). En medio de tanto desempleo,anemia,muerte de bebés prematuros,falta de puestos de salud y escuelas, eso es un crimen!	16	52	111	2020-01-01	PE
3	/CsarMor68938147/status/1212348268258181121	2020-01-01 06:22:06	Felicitaciones Andrés, con tu experiencia en la autogeneración de empleo formal con proyección, garantizamos un crecimiento serio y sano de la empresa en el nuestro querido Perú. pic.twitter.com/BT1ftw0Sur	0	0	0	2020-01-01	PE
4	/PlafElSalto/status/1212316497315532800	2020-01-01 04:15:51	Se jodió el 2019, un día, un tío drogado del Perú nos quitó el empleo, hubo coraje, sin sentidos, estupidez, hubo drama, también grandes torpezas, grandes ambigüedades, grandísimas tonterías, caí de lo verde... https://www.facebook.com/100003375332335/posts/2635582069897612/ …	0	0	0	2020-01-01	PE
5	/VONMAACK/status/1212282429509177345	2020-01-01 02:00:28	SEGÚN NATIONAL GEOGRAPHIC HOY EL PERÚ ES UNO DE LOS 10 MAYORES PAÍSES DEL MUNDO EXPORTADORES DE ALIMENTOS... SIN EMBARGO CIENTOS DE MILES DE NIÑOS PERUANOS PADECEN DE ANEMIA POR MALA ALIMENTACIÓN... LA POBREZA COMO EL DESEMPLEO Y TAMBIÉN EL SUBEMPLEO AUMENTAN. QUE CONTRADICCIÓN!! pic.twitter.com/FWggT1gl1J	1	0	1	2020-01-01	PE
6	/VONMAACK/status/1212281752179359745	2020-01-01 01:57:47	SEGÚN NATIONAL GEOGRAPHIC HOY EL PERÚ ES UNO DE LOS 10 MAYORES PAÍSES DEL MUNDO EXPORTADORES DE ALIMENTOS... SIN EMBARGO CIENTOS DE MILES DE NIÑOS PERUANOS PADECEN DE ANEMIA POR MALA ALIMENTACIÓN... LA POBREZA COMO EL DESEMPLEO Y TAMBIÉN EL SUBEMPLEO AUMENTAN. QUE CONTRADICCIÓN!! pic.twitter.com/VSqVkyjwxA	0	5	2	2020-01-01	PE
7	/Edmalvacea/status/1212260484927414273	2020-01-01 00:33:16	"Para éste Viceministro las personas de +50 años no Figuran en sus Proyectos de empleo !!!!
Acaso no son también ciudadanos peruanos
Y que muchos han perdido su trabajo,
O simplemente fueron despedidos cobrando miserias por tiempo de servicio 
Habrá reinsercion para ellos??"	0	0	0	2020-01-01	PE
8	/Ismael89283771/status/1212256635126726658	2020-01-01 00:17:59	LA SOLUCÍON @sigridbazan MAS #MandilesRosado CON ESO EL PERÚ VA A PROGRESAR, LIBERARSE DE TODA CORRUPCIÓN, DEUDAS, CAOS, INFORMALIDAD, DESEMPLEO, INSEGURIDAD  pic.twitter.com/XVdajpP5bx	0	0	0	2020-01-01	PE
9	/pchirinosz/status/1212231115957661696	2019-12-31 22:36:34	Feliz 2020 a ese #peru que madruga, que hace patria!!! No a esos vagos que se levantan a mediodia, nunca han generado un empleo y solo reclaman derechos... si, ya sabemos de que partidos son!	0	0	1	2019-12-31	PE
10	/DiarioElPeruano/status/1212214361068060672	2019-12-31 21:30:00	"Agroexportación creará más empleo  http://bit.ly/2Qbq7W8 
 Así lo sostuvo el presidente de la Asociación de Exportadores (@ADEX_PERU), Erik Fischer pic.twitter.com/ZntXApJIwD"	0	2	6	2019-12-31	PE
11	/Tuputam19093545/status/1212162051000426496	2019-12-31 18:02:08	"Entonces necesitan empleo en Perú, y la gente emigra a Perú a buscar trabajo
Globalizar no ayuda al socialismo
Cada lugar tiene empleo dedicado a una cosa 
Adivina d donde viene todo el aceite d Europa o el Petróleo d todo el mundo"	1	0	0	2019-12-31	PE
12	/ShaynerRemix2K/status/1212874348211650560	2020-01-02 17:12:33	CONVOCATORIA MINISTERIO DE AGRICULTURA(MINAGRI) [CAS]: 11 Plazas - Archivo, Computación, Otros | Empleo Públicos 2020 Perú https://www.convocatoriascas.com/proceso-de-seleccion-MINISTERIO-DE-AGRICULTURA-MINAGRI-CAS-enero-2020-Archivo-Computacion-15910.html …	0	0	0	2020-01-02	PE
13	/PeruNews/status/1212872903760523264	2020-01-02 17:06:49	Ucayali: Atienden emergencia en vía afectada por lluvias en Padre Abad:    Con el empleo de un cargador frontal y una excavadora del Conservador Mota Engil Perú, personal de Provías Nacional viene trabajando en la rehabilitación del.. *IR #PerúNews http://dld.bz/hU6K2 	0	0	1	2020-01-02	PE
14	/MarioPastorRami/status/1212825953480654850	2020-01-02 14:00:15	"Analista de Redes Sociales - Grupo El Comercio - Perú
#digital  - #digitalmarketing - #empleo - #marketingdigital - #oportunidadlaboral - #respiradigital https://lnkd.in/e8rDc3a "	0	0	0	2020-01-02	PE
