,date,text
0,2020-07-20,Proteger la fuente para proteger el empleo | La Prensa Panamá https://t.co/BrL08w9x6h
1,2020-07-20,Para ayer es tarde. Esta vez creo imperante que le presten atención a este artículo antes de que no se pueda corregir el rumbo. Proteger la fuente para proteger el empleo | La Prensa Panamá https://t.co/DzG7MECfQW
2,2020-07-20,"@raulinagus @fulaicaza @linaresfulo @canaldepanama Nunca se debió permitir este tipo de industria destructiva en Panamá.  Empleo vs daño ecológico, no solo el área donde está, Los ríos, elimina fauna, vegetación a miles de kilómetros. Y cuánto se recibe? Porquería. Come hoy, hambre para mañana"
3,2020-07-20,"@RocaOner @cata_180 @Mubrutico En los paraísos fiscales están los domicilios fiscales de miles de empresas, pero no sus empleados. Ser paraíso fiscal no crea empleo.
Tampoco mejora necesariamente la vida de la gente del lugar, véase Panamá, ni la desigualdad, véase Singapur, ni la economía, véase Chipre."
4,2020-07-19,"Jajajajaa quiera pagar su duda con la ley de pesca, el 10% son 20.000 millones de dolares que entran en 2 meses al mercado de consumo, pago de deudas, pago de hipotecas y muchos que darán empleo, los 12.000 en 2 años de piñera se irán a paraísos fiscales y Panamá, mas robo piñera https://t.co/puZxphCis9"
5,2020-07-19,Aquí en Panamá ni puedes conseguir un segundo empleo porque el primero te damanda demasiado tiempo. https://t.co/PpdPxNXXQI
6,2020-07-19,"El desempleo que se esta generado será peor que cuando hubo la invasión, lo que nos viene es duro panamá, solo donde trabajaba quedaron sin empleo 54 personas. La ayuda a las empresa no llegan y siguen cerrando."
7,2020-07-19,Tasa de desempleo en Panamá podría aumentar de 14 a 20% a causa de la cuarentena.//#Nomascuarentena ⁦@LPacoSucre⁩ @pachi142 ⁦@MINSAPma⁩ ⁦@MitradelPma⁩ ⁦@dorizapataA⁩ ⁦@NitoCortizo⁩ ⁦@yazcortizo⁩  https://t.co/pZekDUuYUn
8,2020-07-19,"■ DUDO Q SEPAS MÁS HISTORIA DE PANAMÁ 🇵🇦 @ElTwitaso Y DE LOS PRD Q TE GOBIERNAN
DE TODOS ESOS AVARICIOSOS Q HOY
DÍA TODO SE LO QUEDAN SON 5MIL
TRABAJADORES Q QUEDARON
SIN EMPLEO POR CULPA DE
ESOS TRATADOS https://t.co/7OQrrWb2gI"
9,2020-07-18,VÍDEO| Tasa de desempleo en #Panamá  podría aumentar de 14 a 20% a causa de la pandemia https://t.co/wzys2swENw https://t.co/TKTLaXfkAR
